ID,Elemento,Categoría,Cantidad,Unidad,Especificación,Definición,Referencia
ENC-01,Base unificada,Carcasa,1,ud.,"Cuerpo impreso, plataforma del teclado y cubierta de transmisión en un volumen.",Pieza propuesta,
ENC-02,Cabeza con plataforma integrada,Carcasa,1,ud.,Carcasa impresa con abertura centrada para la pantalla a tamaño nativo.,Pieza propuesta,
ENC-03,Rejilla superior del altavoz,Carcasa,1,ud.,Rejilla metálica empotrada · 82 × 72 mm.,Pieza propuesta,
ENC-04,Cámara acústica,Carcasa,1,ud.,Cámara impresa propuesta · 78 × 68 × 30 mm.,Pieza propuesta,
ENC-05,Patas de elastómero,Carcasa,4,ud.,Patas antideslizantes; material y dureza por definir.,Pieza propuesta,
ENC-06,Obturador de cámara,Carcasa,1,ud.,Cubierta deslizante de privacidad con ranuras de agarre.,Pieza propuesta,
ENC-07,Riel del obturador,Carcasa,1,ud.,Guía propuesta para el obturador deslizante.,Pieza propuesta,
ELE-01,Compute Module 5 · 8 GB,Electrónica,1,ud.,Módulo de 55 × 40 mm; almacenamiento y variante inalámbrica por confirmar.,Referencia simplificada,https://www.raspberrypi.com/products/compute-module-5/
ELE-02,Placa portadora CM5-NANO-B,Electrónica,1,ud.,Placa nominal: 55 × 41 mm. Posiciones de conectores y geometría de E/S todavía provisionales.,Referencia simplificada,https://www.waveshare.com/cm5-nano-b.htm
ELE-03,LCD HDMI (C) de 4″,Electrónica,1,ud.,"720 × 720 px · vidrio de 84 × 84 mm · área activa de 72,53 × 72,53 mm.",Referencia simplificada,https://www.waveshare.com/4inch-hdmi-lcd-c.htm
ELE-04,Camera Module 3,Electrónica,1,ud.,"Envolvente de 25 × 24 × 11,5 mm; lente y conector simplificados.",Referencia simplificada,https://www.raspberrypi.com/products/camera-module-3/
ELE-05,Matriz ReSpeaker XVF3800,Electrónica,1,ud.,Modelo del proveedor a escala nativa; incluye XIAO ESP32S3 opcional. Variante de compra pendiente.,Modelo del proveedor,https://wiki.seeedstudio.com/respeaker_xvf3800_introduction/#resources
ELE-06,Altavoz de 40 mm,Electrónica,1,ud.,"Reserva de altavoz genérico; impedancia, potencia y modelo comercial por seleccionar.",Por definir,
ELE-07,Sensor de distancia VL53L1X,Electrónica,1,ud.,Portadora provisional de 13 × 18 mm y ventana óptica.,Referencia simplificada,https://www.pololu.com/product/3415
ELE-08,Sensor de luz ambiental,Electrónica,1,ud.,Espacio reservado de 20 × 20 mm; módulo sin seleccionar.,Por definir,
ELE-09,Disipador de calor,Electrónica,1,ud.,Reserva térmica de 55 × 40 × 12 mm; refrigeración sin validar.,Por definir,
ELE-10,Ventilador de 40 mm,Electrónica,1,ud.,Reserva de 40 × 40 × 10 mm; especificación eléctrica por seleccionar.,Por definir,
MOT-01,Microservo posicional SC09,Movimiento,1,ud.,"Cuerpo del proveedor: 23,2 × 12 × 25,5 mm. Reserva del modelo: 34 × 16 × 34 mm; eje y fijación sin verificar. Alimentación de 6 V.",Referencia simplificada,https://www.waveshare.com/wiki/SC09_Servo
MOT-02,Polea motriz de 72 dientes,Movimiento,1,ud.,GT2 · paso de 2 mm · dientes ilustrativos; fijación del cubo por diseñar.,Pieza propuesta,
MOT-03,Polea de salida de 48 dientes,Movimiento,1,ud.,"GT2 · relación angular cabeza/servo de 1,5:1; perfil de dientes ilustrativo.",Pieza propuesta,
MOT-04,Correa de transmisión GT2,Movimiento,1,ud.,Longitud nominal de 220 mm × ancho de 6 mm; ajuste de tensión pendiente.,Referencia simplificada,
MOT-05,Rodamientos 6805,Movimiento,2,ud.,25 × 37 × 7 mm cada uno; ajustes y retención pendientes.,Referencia simplificada,
MOT-06,Eje hueco,Movimiento,1,ud.,Paso de cables de Ø16 mm con resalte superior; concepto de mecanizado.,Pieza propuesta,
MOT-07,Controlador de movimiento,Movimiento,1,ud.,Controlador con TTL half-duplex; reserva de placa de 36 × 26 mm.,Por definir,
MOT-08,Regulador de motor de 6 V,Movimiento,1,ud.,Reserva de 28 × 20 × 10 mm; capacidad de corriente por dimensionar.,Por definir,
MOT-09,Sensor de origen y objetivo,Movimiento,1,conjunto,Referencia independiente propuesta para la posición de la cabeza.,Por definir,
MOT-10,Topes mecánicos de recorrido,Movimiento,1,conjunto,Indicador de entrada y dos topes; posición y cargas por validar.,Pieza propuesta,
MNT-01,Soporte de rodamientos,Montaje,1,ud.,Soporte propuesto alrededor de los dos rodamientos.,Pieza propuesta,
MNT-02,Puente de rodamientos,Montaje,1,ud.,Puente propuesto sobre la correa de transmisión.,Pieza propuesta,
MNT-03,Separadores del puente,Montaje,4,ud.,Altura de soporte de 18 mm; geometría propuesta.,Pieza propuesta,
MNT-04,Abrazadera del servo,Montaje,1,ud.,Reserva de soporte ranurado para ajustar la tensión de la correa.,Pieza propuesta,
MNT-05,Kit de soporte de cómputo,Montaje,1,conjunto,"Cuna, cuatro apoyos y dos soportes de borde; conjunto propuesto.",Pieza propuesta,
MNT-06,Kit de soporte de cámara,Montaje,1,conjunto,Dos apoyos de borde y un travesaño; conjunto propuesto.,Pieza propuesta,
MNT-07,Kit de soporte de pantalla,Montaje,1,conjunto,Dos soportes de borde y cuatro clips de retención; conjunto propuesto.,Pieza propuesta,
MNT-08,Clips de los micrófonos,Montaje,2,ud.,Retención de borde propuesta para la placa ReSpeaker.,Pieza propuesta,
MNT-09,Puertos acústicos de micrófonos,Montaje,4,conjunto,"Cada puerto tiene conducto, aro y malla; sellado por validar.",Pieza propuesta,
MNT-10,Junta y soportes del altavoz,Montaje,1,conjunto,Una junta de sellado y cuatro postes de montaje.,Pieza propuesta,
MNT-11,Tornillos de montaje,Montaje,12,ud.,4 tornillos M2 propuestos de cómputo + 4 de pantalla + 4 de altavoz. Longitudes y fijaciones finales pendientes.,Por definir,
MNT-12,Alivio de tensión del arnés,Montaje,1,ud.,Retenedor propuesto en la entrada de cables de la cabeza.,Pieza propuesta,
CTL-01,Interruptores mecánicos de teclas,Controles,6,ud.,Reservas de interruptores de 14 mm; modelo y conexión pendientes.,Por definir,
CTL-02,Cubiertas de teclas,Controles,6,ud.,Seis cubiertas de teclas con leyendas ilustrativas.,Pieza propuesta,
CTL-03,Palanca de control,Controles,1,ud.,"Fuelle, varilla metálica y esfera; mecanismo de lectura sin modelar.",Por definir,
CTL-04,Botón de voz,Controles,1,ud.,Envolvente del botón; interruptor y fijación por definir.,Por definir,
CTL-05,Interruptor físico de silencio,Controles,1,ud.,Reserva de control de silencio; circuito eléctrico pendiente.,Por definir,
CTL-06,Interruptor de alimentación,Controles,1,ud.,Envolvente del interruptor; capacidad y conexión pendientes.,Por definir,
CTL-07,Iluminación e indicadores,Controles,Por definir,conjunto,"RGB de teclas, guías de luz de base y LCD, indicadores de cámara y agente. Cantidad final de LED y controlador pendientes.",Por definir,
CON-01,Panel de conexiones,Conexiones,1,ud.,Panel trasero para alimentación y conexiones de servicio.,Pieza propuesta,
CON-02,Conectores externos,Conexiones,1,conjunto,"USB-C para lógica, USB-A de servicio y conector de motor de 6 V.",Por definir,
CON-03,Cable CSI de cámara,Conexiones,1,ud.,Trayecto FFC de 15 a 22 pines; longitud y radio de curvatura por validar.,Por definir,
CON-04,Cable USB de audio,Conexiones,1,ud.,Trayecto USB interno propuesto hasta la matriz de micrófonos.,Por definir,
CON-05,Par de cables del altavoz,Conexiones,1,conjunto,Reserva de trayecto de audio amplificado; terminación pendiente.,Por definir,
CON-06,Cable de motor,Conexiones,1,ud.,Trayecto fijo de cableado del motor; conector y longitud pendientes.,Por definir,
CON-07,Arnés flexible de la cabeza,Conexiones,1,ud.,Alimentación y control por el eje hueco; vida en flexión de ±180° sin validar.,Por definir,
CON-08,Fuente de alimentación externa,Conexiones,Por definir,conjunto,Arquitectura de alimentación de lógica a 5 V y motor regulado a 6 V; adaptadores y presupuesto de corriente por definir.,Por definir,
