ID,Item,Categoria,Quantidade,Unidade,Especificação,Definição,Referência
ENC-01,Base unificada,Carcaça,1,un.,"Corpo impresso, deck do teclado e cobertura da transmissão em um volume.",Peça proposta,
ENC-02,Cabeça com plataforma integrada,Carcaça,1,un.,Carcaça impressa com abertura centralizada para o display em tamanho nativo.,Peça proposta,
ENC-03,Grade superior do alto-falante,Carcaça,1,un.,Grade metálica embutida · 82 × 72 mm.,Peça proposta,
ENC-04,Câmara acústica,Carcaça,1,un.,Câmara impressa proposta · 78 × 68 × 30 mm.,Peça proposta,
ENC-05,Pés de elastômero,Carcaça,4,un.,Pés antiderrapantes; material e dureza a definir.,Peça proposta,
ENC-06,Obturador da câmera,Carcaça,1,un.,Cobertura deslizante de privacidade com ranhuras de apoio.,Peça proposta,
ENC-07,Trilho do obturador,Carcaça,1,un.,Guia proposto para o obturador deslizante.,Peça proposta,
ELE-01,Compute Module 5 · 8 GB,Eletrônica,1,un.,Módulo de 55 × 40 mm; armazenamento e variante sem fio a confirmar.,Referência simplificada,https://www.raspberrypi.com/products/compute-module-5/
ELE-02,Placa portadora CM5-NANO-B,Eletrônica,1,un.,Placa nominal: 55 × 41 mm. Posições dos conectores e geometria de E/S ainda provisórias.,Referência simplificada,https://www.waveshare.com/cm5-nano-b.htm
ELE-03,LCD HDMI (C) de 4″,Eletrônica,1,un.,"720 × 720 px · vidro de 84 × 84 mm · área ativa de 72,53 × 72,53 mm.",Referência simplificada,https://www.waveshare.com/4inch-hdmi-lcd-c.htm
ELE-04,Camera Module 3,Eletrônica,1,un.,"Envelope de 25 × 24 × 11,5 mm; lente e conector simplificados.",Referência simplificada,https://www.raspberrypi.com/products/camera-module-3/
ELE-05,Matriz ReSpeaker XVF3800,Eletrônica,1,un.,Modelo do fornecedor em escala nativa; inclui XIAO ESP32S3 opcional. Variante de compra em aberto.,Modelo do fornecedor,https://wiki.seeedstudio.com/respeaker_xvf3800_introduction/#resources
ELE-06,Alto-falante de 40 mm,Eletrônica,1,un.,"Reserva de falante genérico; impedância, potência e modelo comercial a selecionar.",A definir,
ELE-07,Sensor de distância VL53L1X,Eletrônica,1,un.,Portadora provisória de 13 × 18 mm e janela óptica.,Referência simplificada,https://www.pololu.com/product/3415
ELE-08,Sensor de luz ambiente,Eletrônica,1,un.,Espaço reservado de 20 × 20 mm; módulo não selecionado.,A definir,
ELE-09,Dissipador de calor,Eletrônica,1,un.,Reserva térmica de 55 × 40 × 12 mm; refrigeração não validada.,A definir,
ELE-10,Ventoinha de 40 mm,Eletrônica,1,un.,Reserva de 40 × 40 × 10 mm; especificação elétrica a selecionar.,A definir,
MOT-01,Microservo posicional SC09,Movimento,1,un.,"Corpo do fornecedor: 23,2 × 12 × 25,5 mm. Reserva no modelo: 34 × 16 × 34 mm; eixo e fixação não verificados. Alimentação de 6 V.",Referência simplificada,https://www.waveshare.com/wiki/SC09_Servo
MOT-02,Polia motora de 72 dentes,Movimento,1,un.,GT2 · passo de 2 mm · dentes ilustrativos; fixação do cubo a projetar.,Peça proposta,
MOT-03,Polia de saída de 48 dentes,Movimento,1,un.,"GT2 · relação angular cabeça/servo de 1,5:1; perfil dos dentes ilustrativo.",Peça proposta,
MOT-04,Correia de transmissão GT2,Movimento,1,un.,Comprimento nominal de 220 mm × largura de 6 mm; ajuste de tensão pendente.,Referência simplificada,
MOT-05,Rolamentos 6805,Movimento,2,un.,25 × 37 × 7 mm cada; ajustes e retenção dos rolamentos pendentes.,Referência simplificada,
MOT-06,Eixo oco,Movimento,1,un.,Passagem de cabos de Ø16 mm com ressalto superior; conceito de usinagem.,Peça proposta,
MOT-07,Controlador de movimento,Movimento,1,un.,Controlador com TTL half-duplex; reserva de placa de 36 × 26 mm.,A definir,
MOT-08,Regulador do motor de 6 V,Movimento,1,un.,Reserva de 28 × 20 × 10 mm; capacidade de corrente a dimensionar.,A definir,
MOT-09,Sensor de origem e alvo,Movimento,1,conjunto,Referência independente proposta para a posição da cabeça.,A definir,
MOT-10,Batentes de curso mecânicos,Movimento,1,conjunto,Indicador de entrada e dois batentes; posição e esforços a validar.,Peça proposta,
MNT-01,Pedestal dos rolamentos,Montagem,1,un.,Suporte proposto ao redor dos dois rolamentos.,Peça proposta,
MNT-02,Ponte dos rolamentos,Montagem,1,un.,Ponte proposta acima da correia de transmissão.,Peça proposta,
MNT-03,Espaçadores da ponte,Montagem,4,un.,Altura de suporte de 18 mm; geometria proposta.,Peça proposta,
MNT-04,Suporte do servo,Montagem,1,un.,Reserva de suporte com rasgos para ajuste da tensão da correia.,Peça proposta,
MNT-05,Kit de suporte do computador,Montagem,1,conjunto,"Berço, quatro apoios e dois suportes de borda; conjunto proposto.",Peça proposta,
MNT-06,Kit de suporte da câmera,Montagem,1,conjunto,Dois apoios de borda e uma travessa; conjunto proposto.,Peça proposta,
MNT-07,Kit de suporte do display,Montagem,1,conjunto,Dois suportes de borda e quatro presilhas de retenção; conjunto proposto.,Peça proposta,
MNT-08,Presilhas dos microfones,Montagem,2,un.,Retenção de borda proposta para a placa ReSpeaker.,Peça proposta,
MNT-09,Portas acústicas dos microfones,Montagem,4,conjunto,"Cada porta tem duto, aro e tela; vedação a validar.",Peça proposta,
MNT-10,Junta e suportes do alto-falante,Montagem,1,conjunto,Uma junta de vedação e quatro postes de montagem.,Peça proposta,
MNT-11,Parafusos de montagem,Montagem,12,un.,4 parafusos M2 propostos do computador + 4 do display + 4 do alto-falante. Comprimentos e fixadores finais pendentes.,A definir,
MNT-12,Alívio de tração do chicote,Montagem,1,un.,Retentor proposto na entrada de cabos da cabeça.,Peça proposta,
CTL-01,Switches mecânicos das teclas,Controles,6,un.,Reservas de switches de 14 mm; modelo e ligação pendentes.,A definir,
CTL-02,Capas das teclas,Controles,6,un.,Seis capas de teclas com legendas ilustrativas.,Peça proposta,
CTL-03,Alavanca de controle,Controles,1,un.,"Coifa, haste metálica e esfera; mecanismo de leitura não modelado.",A definir,
CTL-04,Botão de voz,Controles,1,un.,Envelope do botão; switch e fixação a definir.,A definir,
